country_code,code,name,date,description
ES,01,Andalucía,28/02/2020,Día de Andalucía
ES,01,Andalucía,09/04/2020,Jueves Santo
ES,01,Andalucía,02/11/2020,Traslado de Todos los Santos
ES,01,Andalucía,07/12/2020,Traslado de día de la Constitución
ES,02,Aragón,09/04/2020,Jueves Santo
ES,02,Aragón,23/04/2020,Día de Aragón
ES,02,Aragón,02/11/2020,Traslado de Todos los Santos
ES,02,Aragón,07/12/2020,Traslado de día de la Constitución
ES,03,Asturias,09/04/2020,Jueves Santo
ES,03,Asturias,09/09/2020,Día de Asturias
ES,03,Asturias,02/11/2020,Traslado de Todos los Santos
ES,03,Asturias,07/12/2020,Traslado de día de la Constitución
ES,04,Baleares,09/04/2020,Jueves Santo
ES,04,Baleares,13/04/2020,Lunes de Pascua
ES,04,Baleares,07/12/2020,Traslado de día de la Constitución
ES,04,Baleares,26/12/2020,Segundo día de Navidad
ES,05,Canarias,09/04/2020,Jueves Santo
ES,05,Canarias,30/05/2020,Día de Canarias
ES,05,Canarias,07/12/2020,Traslado de día de la Constitución
ES,06,Cantabria,09/04/2020,Jueves Santo
ES,06,Cantabria,13/04/2020,Lunes de Pascua
ES,06,Cantabria,28/07/2020,Día de las Instituciones de Cantabria
ES,06,Cantabria,15/09/2020,Día de la Bien Aparecida
ES,07,Castilla y León,09/04/2020,Jueves Santo
ES,07,Castilla y León,23/04/2020,Día de Castilla y León
ES,07,Castilla y León,02/11/2020,Traslado de Todos los Santos
ES,07,Castilla y León,07/12/2020,Traslado de día de la Constitución
ES,08,Castilla-La Mancha,19/03/2020,San José
ES,08,Castilla-La Mancha,09/04/2020,Jueves Santo
ES,08,Castilla-La Mancha,13/04/2020,Lunes de Pascua
ES,08,Castilla-La Mancha,11/09/2020,"Fiesta del Corpus Christi, en sustitución del 6 de diciembre"
ES,09,Cataluña,13/04/2020,Lunes de Pascua
ES,09,Cataluña,24/06/2020,San Joan
ES,09,Cataluña,11/09/2020,Día Nacional de Cataluña
ES,09,Cataluña,26/12/2020,San Esteve
ES,10,Comunidad Valenciana,19/03/2020,San José
ES,10,Comunidad Valenciana,13/04/2020,Lunes de Pascua
ES,10,Comunidad Valenciana,24/09/2020,San Juan
ES,10,Comunidad Valenciana,09/10/2020,Día de la Comunidad Valenciana
ES,11,Extremadura,09/04/2020,Jueves Santo
ES,11,Extremadura,08/09/2020,Día de Extremadura
ES,11,Extremadura,02/11/2020,Traslado de Todos los Santos
ES,11,Extremadura,07/12/2020,Traslado de día de la Constitución
ES,12,Galicia,19/03/2020,San José
ES,12,Galicia,09/04/2020,Jueves Santo
ES,12,Galicia,24/06/2020,San Juan
ES,12,Galicia,25/07/2020,Santiago Apóstol
ES,13,Madrid,09/04/2020,Jueves Santo
ES,13,Madrid,02/05/2020,Fiesta de la Comunidad de Madrid
ES,13,Madrid,02/11/2020,Traslado de Todos los Santos
ES,13,Madrid,07/12/2020,Traslado de día de la Constitución
ES,14,Murcia,19/03/2020,San José
ES,14,Murcia,09/04/2020,Jueves Santo
ES,14,Murcia,09/06/2020,Día de la Región de Murcia
ES,14,Murcia,07/12/2020,Traslado de día de la Constitución
ES,15,Navarra,19/03/2020,San José
ES,15,Navarra,09/04/2020,Jueves Santo
ES,15,Navarra,13/04/2020,Lunes de Pascua
ES,15,Navarra,07/12/2020,Traslado de día de la Constitución
ES,16,País Vasco,19/03/2020,San José
ES,16,País Vasco,09/04/2020,Jueves Santo
ES,16,País Vasco,13/04/2020,Lunes de Pascua
ES,16,País Vasco,25/07/2020,Santiago Apóstol
ES,17,La Rioja,09/04/2020,Jueves Santo
ES,17,La Rioja,13/04/2020,Lunes de Pascua
ES,17,La Rioja,09/06/2020,Día de La Rioja
ES,17,La Rioja,07/12/2020,Traslado de día de la Constitución
ES,18,Ceuta,09/04/2020,Jueves Santo
ES,18,Ceuta,31/07/2020,Día del Sacrificio / Eidul Adha
ES,18,Ceuta,02/09/2020,Día de Ceuta
ES,18,Ceuta,07/12/2020,Traslado de día de la Constitución
ES,19,Melilla,13/03/2020,Día de la firma del Estatuto de Autonomía
ES,19,Melilla,09/04/2020,Jueves Santo
ES,19,Melilla,31/07/2020,Aid El Kebir
ES,19,Melilla,07/12/2020,Traslado de día de la Constitución
